run_num,tasks_completed,work_in_process,complexity,tasks_forwarded
1,1205,206,3615,5373
2,1189,222,3567,5399
3,1208,203,3624,5444
4,1190,221,3570,5437
5,1211,200,3633,5438
6,1205,206,3615,5307
7,1179,232,3537,5402
8,1212,199,3636,5474
9,1220,191,3660,5102
10,1228,183,3684,5063
11,1222,189,3666,5449
12,1208,203,3624,5387
13,1215,196,3645,5412
14,1193,218,3579,5123
15,1215,196,3645,5481
16,1202,209,3606,5491
17,1217,194,3651,5454
18,1220,191,3660,5237
19,1209,202,3627,5783
20,1201,210,3603,5434
21,1242,169,3726,5331
22,1195,216,3585,5215
23,1177,234,3531,5528
24,1219,192,3657,5445
25,1239,172,3717,5281
26,1196,215,3588,5383
27,1219,192,3657,5311
28,1230,181,3690,5240
29,1227,184,3681,5140
30,1184,227,3552,5500
31,1244,167,3732,5106
32,1214,197,3642,5335
33,1220,191,3660,5372
34,1208,203,3624,5687
35,1225,186,3675,5181
36,1246,165,3738,5240
37,1237,174,3711,5103
38,1192,219,3576,5823
39,1206,205,3618,5572
40,1224,187,3672,5277
