run_num,tasks_completed,work_in_process,complexity,tasks_forwarded
1,61,10,183,481
2,64,7,192,271
3,59,12,177,434
4,67,4,201,371
5,62,9,186,368
6,66,5,198,346
7,66,5,198,344
8,64,7,192,320
9,64,7,192,342
10,66,5,198,284
11,63,8,189,419
12,64,7,192,348
13,62,9,186,407
14,64,7,192,359
15,61,10,183,390
16,67,4,201,289
17,66,5,198,299
18,64,7,192,319
19,67,4,201,357
20,65,6,195,456
21,64,7,192,323
22,65,6,195,353
23,59,12,177,407
24,63,8,189,359
25,64,7,192,390
26,60,11,180,373
27,60,11,180,361
28,63,8,189,383
29,60,11,180,362
30,66,5,198,342
31,65,6,195,307
32,65,6,195,296
33,63,8,189,434
34,62,9,186,385
35,62,9,186,403
36,65,6,195,300
37,62,9,186,337
38,66,5,198,336
39,63,8,189,309
40,63,8,189,427
