run_num,tasks_completed,work_in_process,complexity,tasks_forwarded
1,105,36,315,582
2,115,26,345,531
3,96,45,288,653
4,89,52,267,682
5,91,50,273,674
6,107,34,321,605
7,91,50,273,696
8,84,57,252,720
9,96,45,288,627
10,115,26,345,518
11,121,20,363,544
12,96,45,288,661
13,95,46,285,567
14,90,51,270,664
15,91,50,273,742
16,70,71,210,731
17,99,42,297,668
18,105,36,315,624
19,92,49,276,672
20,76,65,228,686
21,105,36,315,579
22,101,40,303,620
23,100,41,300,654
24,95,46,285,668
25,81,60,243,733
26,82,59,246,608
27,97,44,291,603
28,78,63,234,699
29,93,48,279,667
30,120,21,360,505
31,92,49,276,683
32,94,47,282,655
33,77,64,231,732
34,94,47,282,668
35,111,30,333,600
36,112,29,336,599
37,118,23,354,545
38,103,38,309,651
39,120,21,360,555
40,106,35,318,618
