run_num,tasks_completed,work_in_process,complexity,tasks_forwarded
1,259,23,777,1212
2,259,23,777,1053
3,256,26,768,1276
4,255,27,765,1146
5,259,23,777,1207
6,260,22,780,1251
7,260,22,780,1178
8,249,33,747,1489
9,249,33,747,1422
10,247,35,741,1391
11,213,69,639,1951
12,262,20,786,1126
13,260,22,780,1028
14,251,31,753,1356
15,258,24,774,1153
16,257,25,771,1125
17,259,23,777,1288
18,254,28,762,1281
19,251,31,753,1273
20,254,28,762,1403
21,261,21,783,1214
22,256,26,768,1280
23,259,23,777,1263
24,260,22,780,1131
25,258,24,774,1194
26,260,22,780,1141
27,246,36,738,1274
28,250,32,750,1377
29,259,23,777,1214
30,255,27,765,1223
31,256,26,768,1222
32,250,32,750,1237
33,240,42,720,1664
34,260,22,780,1182
35,256,26,768,1243
36,254,28,762,1466
37,259,23,777,1154
38,253,29,759,1358
39,258,24,774,1458
40,261,21,783,1194
