run_num,tasks_completed,work_in_process,complexity,tasks_forwarded
1,102,39,306,708
2,107,34,321,626
3,87,54,261,843
4,99,42,297,768
5,95,46,285,793
6,109,32,327,668
7,102,39,306,689
8,98,43,294,651
9,108,33,324,628
10,104,37,312,620
11,108,33,324,724
12,97,44,291,760
13,120,21,360,508
14,114,27,342,644
15,106,35,318,728
16,108,33,324,674
17,110,31,330,577
18,118,23,354,648
19,101,40,303,681
20,101,40,303,676
21,100,41,300,708
22,117,24,351,569
23,117,24,351,561
24,110,31,330,660
25,84,57,252,770
26,88,53,264,685
27,101,40,303,711
28,118,23,354,587
29,93,48,279,784
30,95,46,285,695
31,92,49,276,721
32,94,47,282,772
33,93,48,279,791
34,118,23,354,657
35,92,49,276,716
36,119,22,357,559
37,71,70,213,834
38,102,39,306,764
39,112,29,336,583
40,118,23,354,627
