run_num,tasks_completed,work_in_process,complexity,tasks_forwarded
1,592,819,1776,3602
2,607,804,1821,3667
3,598,813,1794,3676
4,564,847,1692,3742
5,608,803,1824,3584
6,576,835,1728,3770
7,573,838,1719,3749
8,590,821,1770,3654
9,647,764,1941,3559
10,664,747,1992,3526
11,622,789,1866,3602
12,601,810,1803,3602
13,648,763,1944,3538
14,510,901,1530,3799
15,553,858,1659,3813
16,614,797,1842,3572
17,609,802,1827,3561
18,576,835,1728,3718
19,631,780,1893,3596
20,574,837,1722,3729
21,628,783,1884,3583
22,629,782,1887,3570
23,619,792,1857,3619
24,565,846,1695,3646
25,616,795,1848,3572
26,668,743,2004,3447
27,635,776,1905,3661
28,556,855,1668,3738
29,571,840,1713,3601
30,621,790,1863,3516
31,605,806,1815,3633
32,594,817,1782,3646
33,592,819,1776,3651
34,546,865,1638,3792
35,585,826,1755,3607
36,663,748,1989,3540
37,625,786,1875,3655
38,539,872,1617,3804
39,615,796,1845,3640
40,580,831,1740,3757
