run_num,tasks_completed,work_in_process,complexity,tasks_forwarded
1,74,67,222,536
2,76,65,228,521
3,69,72,207,557
4,84,57,252,499
5,84,57,252,523
6,83,58,249,486
7,81,60,243,517
8,90,51,270,541
9,88,53,264,430
10,81,60,243,515
11,80,61,240,567
12,89,52,267,528
13,83,58,249,545
14,88,53,264,474
15,72,69,216,530
16,73,68,219,563
17,65,76,195,590
18,81,60,243,526
19,57,84,171,578
20,79,62,237,556
21,64,77,192,592
22,87,54,261,538
23,72,69,216,533
24,67,74,201,587
25,78,63,234,533
26,70,71,210,507
27,64,77,192,519
28,56,85,168,564
29,88,53,264,488
30,87,54,261,499
31,71,70,213,538
32,64,77,192,537
33,78,63,234,526
34,56,85,168,564
35,68,73,204,553
36,79,62,237,553
37,86,55,258,429
38,69,72,207,551
39,75,66,225,492
40,64,77,192,547
